Test-suit ID,Test case ID,Priority,Module,Summary,Preconditions,Test data,Steps,Expected result,Remarks
,ТС-11,Low,Форма авторизации,"Наличие подсказок при наведении курсором на поля ввода логин, пароль и иконку показ/сокрытие пароля","1. Открыт сайт https://try.vikunja.io/login;                                   
2. Открыта форма авторизации пользователя;                                                                        ",,"1. Установить курсор на поле ввода логин;                                                         
2. Установить курсор на поле ввода пароль;                                                              
3. Установить курсор на иконку глаза","1. Всплывает подсказка "" Вы пропустили это поле"";                                                                     2. Всплывает подсказка "" Вы пропустили это поле"";                                                                    3. Всплывает подсказка ""Показать пароль"".",
,ТС-12,Low,Форма авторизации,Удобство использования интерфейса формы авторизации.,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",,"1. Оценить расположение и видимость полей Логин и Пароль, а также кнопки ""Sign in"".
2. Оценить читаемость текста и инструкций.","Интерфейс интуитивно понятен, поля и кнопка расположены логично, текст легко читается.",
,ТС-13,Low,Форма авторизации,"Изменение цвета кнопки ""Sign in"" при наведении курсор",1. Открыт сайт https://try.vikunja.io/login;                                   2. Открыта форма авторизации пользователя;                                                                        ,,"1. Навести курсор на кнопку ""Sign in""","1. Цвет изменен на кнопке ""Sign in""",
Тестирование производительности,,,,,,,,,
,ТС-14,Low,Форма авторизации,Тест нагрузки,"1. Открыт сайт https://try.vikunja.io/login;                                   
2. Открыта форма авторизации пользователя;                                                                        ",,Одновременная отправка формы несколькими пользователями (например 1000 запросов).,Сервер обрабатывает запросы без значительного замедления.,
,ТС-15,Low,Форма авторизации,Тест на стресс,"1. Открыт сайт https://try.vikunja.io/login;                                   
2. Открыта форма авторизации пользователя;                                                                        ",,Отправка формы с интенсивной нагрузкой (например 10000 запросов за короткий промежуток времени).,Сервер справляется с нагрузкой или корректно обрабатывает превышение нагрузки.,
,ТС-16,Low,Форма авторизации,Время загрузки страницы,"1. Открыт сайт https://try.vikunja.io/login;                                   
2. Открыта форма авторизации пользователя;                                                                        ",,"1. Ввести логин ""kostyatest"" в поле Логин.
2. Ввести пароль ""testtest"" в поле Пароль.
3. Нажать кнопку ""Sign in"".",Страница загружается менее трёх секунд.,
Кросс-браузерное тестирование,,,,,,,,,
,ТС-17,High,Форма авторизации,"Успешное отображение элементов формы в браузерах Chrome, Firefox, Safari.","1. Открыт сайт https://try.vikunja.io/login в браузере Chrome            
                                                 
                                                                                     
2. Открыт сайт https://try.vikunja.io/login в браузере Firefox
                                                                                      

 3. Открыт сайт https://try.vikunja.io/login в браузере Safari.
                                                                              ",,"1.1 Открыть форму авторизации
1.2 Проверить доступность полей ввода логина, пароля и кнопки ""Sign in"".","1.1 Страница  и  все элементы формы авторизации отображены корректно.
1.2 Пользователю доступны все возможности работы с формой авторизации.",
,,,,,,,,,
,,,,,,,,,
Тестирование безопасности,,,,,,,,,
,ТС-19,High,Форма авторизации,Безопасное соединение с сайтом,1. Открыт сайт https://try.vikunja.io/login;                                   2. Открыта форма авторизации пользователя;                                                                        ,,Посмотреть наличие иконки закрытого замка в строке для ввода URL.,Иконка закрытого замка отображается в строке для ввода URL. Установлено безопасное соединение.,
Тестирование удобства использования,,,,,,,,,
,ТС-20,High,Форма авторизации,Соответствия страницы авторизации стандартам доступности ,Сайт поддерживает  возможность навигации с помощью клавиатуры.,,"1. Открыть страницу авторизации.
2. Проверить возможность навигации с помощью клавиатуры.
", Навигация по форме возможна с помощью клавиатуры.,
